id,store_name,store_name_gn,store_name_tb,store_name_hp,store_name_retty,store_name_demaekan,store_name_uber,store_name_google,phone_number,area_id
519,"山海宴",,"山海宴",,,,,,043-306-5738,3
520,"Yaホ 中央本店",,"Yaホ 中央本店",,,,,,043-222-2929,3
521,"和味庵",,"和味庵",,,,,"日本の四季の味 和味庵",043-296-2203,3
522,"アマンダン セイル",,"アマンダン セイル",,,,,,050-5306-8497,3
523,"手羽市 幕張本郷店",,"手羽市 幕張本郷店",,,,,"手羽市 幕張本郷店",043-274-6633,3
524,"くすお 千葉店",,"くすお 千葉店",,,,,,043-441-8101,3
525,"龍馬",,"龍馬",,,,,,043-224-7177,3
526,"今日和 幕張ベイタウン店",,"今日和 幕張ベイタウン店",,,,,,043-211-5055,3
527,"黒毛和牛 肉寿司 チーズ＆デザイナーズ個室 Double Cheese 千葉店",,"黒毛和牛 肉寿司 チーズ＆デザイナーズ個室 Double Cheese 千葉店",,,,,,043-306-8770,3
528,masa,,masa,,,,,,043-290-4117,3
529,"THE NEW YORK BAYSIDE KITCHEN",,"THE NEW YORK BAYSIDE KITCHEN",,,,,,043-301-4101,3
530,"IL PINOLO LEVITA 千葉",,"IL PINOLO LEVITA 千葉",,,,,,043-247-0531,3
531,"ハンバーグ パテ トツカ",,"ハンバーグ パテ トツカ",,,,,,043-305-5985,3
532,"まな板の上のサカナ 千葉店",,"まな板の上のサカナ 千葉店",,,,,,043-202-5686,3
533,"特選和牛大将軍 千葉富士見店",,"特選和牛大将軍 千葉富士見店",,,,,,043-222-2941,3
534,"ビストロ イヴローニュ",,"ビストロ イヴローニュ",,,,,,043-215-7788,3
535,"中国料理 景山",,"中国料理 景山",,,,,,043-222-2351,3
536,"格安ビールと鉄鍋餃子 3・6・5酒場 千葉駅前店",,"格安ビールと鉄鍋餃子 3・6・5酒場 千葉駅前店",,,,,,043-202-7624,3
537,"BEONE 千葉駅前店",,"BEONE 千葉駅前店",,,,,"BEONE 千葉店",043-305-5110,3
538,"創作和食 一会 千葉本店",,"創作和食 一会 千葉本店",,,,,,050-2018-7829,3
539,"小竹家",,"小竹家",,,,,,043-222-1112,3
540,"個室と海鮮和食 でんでれでん 海浜幕張店",,"個室と海鮮和食 でんでれでん 海浜幕張店",,,,,"個室×海鮮和食 でんでれでん 海浜幕張店 （でんでれでん）",050-2018-1782,3
541,"四国の食 わらやき三四郎 千葉店",,"四国の食 わらやき三四郎 千葉店","千葉海鮮個室居酒屋 わらやき三四郎 千葉店",,,,"わらやき三四郎 千葉中央店",050-5266-0427,3
542,"Pizzeria Trattoria PECORINO イオン幕張店",,"Pizzeria Trattoria PECORINO イオン幕張店",,,,,,043-306-5008,3
543,"完全個室居酒屋 季作 aune海浜幕張店",,"完全個室居酒屋 季作 aune海浜幕張店",,,,,"季作 aune海浜幕張店",050-5357-3022,3
544,"個室×チーズと和牛肉バル BOND 海浜幕張店",,"個室×チーズと和牛肉バル BOND 海浜幕張店",,,,,,050-2018-1816,3
545,"Cafe Dining 彩雲",,"Cafe Dining 彩雲",,,,,,043-306-6911,3
546,"やきとりの扇屋 千葉東寺山店",,"やきとりの扇屋 千葉東寺山店",,,,,,043-290-7770,3
547,"西千葉イタリアンカフェ DEAR FROM",,"西千葉イタリアンカフェ DEAR FROM",,,,,,043-205-4173,3
548,"そば酒房 凛や ペリエ千葉店",,"そば酒房 凛や ペリエ千葉店",,,,,,043-307-7875,3
549,"花月庵 れん月",,"花月庵 れん月",,,,,,043-261-3202,3
550,"マザームーンカフェ 美浜",,"マザームーンカフェ 美浜",,,,,,043-204-3566,3
551,"イタリアンレストラン Orizzonte",,"イタリアンレストラン Orizzonte",,,,,,043-306-5100,3
552,"BULLS STEAK HOUSE",,"BULLS STEAK HOUSE",,,,"ブルズステーキハウス BULLS STEAK HOUSE",,043-306-9656,3
553,"裏千葉シュリンプ",,"裏千葉シュリンプ","裏千葉　シュリンプ",,,,,043-246-5777,3
554,"ガレット＆フレンチトースト ZiZi",,"ガレット＆フレンチトースト ZiZi",,,,,,043-306-6761,3
555,"台湾料理 豊源",,"台湾料理 豊源",,,,,,043-301-0789,3
556,"生ラムジンギスカン なんまん 新検見川店",,"生ラムジンギスカン なんまん 新検見川店",,,,,,043-272-2941,3
557,"兆一 幕張店",,"兆一 幕張店",,,,,,043-297-2778,3
558,"凱旋門 高品店",,"凱旋門 高品店",,,,,,043-214-4129,3
559,"煮りん",,"煮りん",,,,,"特選和房 煮りん",043-224-1937,3
560,"ムッシュ ゴルジェ",,"ムッシュ ゴルジェ",,,,,,043-246-3840,3
561,"ガンボ＆オイスターバー 千葉そごう店",,"ガンボ＆オイスターバー 千葉そごう店",,,,,,043-307-5385,3
562,"ランタン",,"ランタン",,,,,,043-238-8815,3
563,"夜景個室 旬和食ダイニング へぎ蕎麦 いち凛 千葉本店",,"夜景個室 旬和食ダイニング へぎ蕎麦 いち凛 千葉本店",,,,,"へぎ蕎麦 いち凛 千葉本店",043-306-7802,3
564,"ペリエ千葉 肉食べ放題BBQビアガーデン",,"ペリエ千葉 肉食べ放題BBQビアガーデン",,,,,,050-3647-3994,3
565,"跡地",,"跡地",,,,,,043-202-1880,3
566,"い志い 熟成鶏十八番",,"い志い 熟成鶏十八番",,,,,,043-254-0558,3
567,Gop,,Gop,,,,,GOP,043-441-6782,3
568,"浜焼き食べ放題×韓国個室Dining ハンマーカンマー 千葉店",,"浜焼き食べ放題×韓国個室Dining ハンマーカンマー 千葉店",,,,,,043-227-2127,3
569,"美味辛厨房まるから 千葉中央店",,"美味辛厨房まるから 千葉中央店",,,,,"美味辛厨房 まるから 千葉中央店",043-242-2421,3
570,"三国一",,"三国一",,,,,,043-272-5280,3
571,"夢咲",,"夢咲",,,,,,043-247-8270,3
572,"海鮮の國 波奈 本店",,"海鮮の國 波奈 本店",,,,,,043-206-1587,3
573,"メゾンカイザー 幕張店",,"メゾンカイザー 幕張店",,,,,,043-441-4375,3
574,"パステルイタリアーナ 幕張店",,"パステルイタリアーナ 幕張店",,,,,,043-297-8141,3
575,"貝渕 卓也",,"貝渕 卓也",,,,,,043-445-8886,3
576,"シェ レザンジュ",,"シェ レザンジュ",,,,,,043-247-0707,3
577,"魚河岸バル ハヤシダ",,"魚河岸バル ハヤシダ",,,,,,043-441-5342,3
578,"東天紅 千葉スカイウインドウズ",,"東天紅 千葉スカイウインドウズ",,,,,,043-238-5555,3
579,"ぷらっトリア",,"ぷらっトリア",,,,,,043-301-6611,3
580,"らーめん福たけ 桜木本店",,"らーめん福たけ 桜木本店",,,,,,043-235-3353,3
581,"浜田屋",,"浜田屋",,,,,,043-224-6588,3
582,"金沢まいもん寿司 イオンモール幕張新都心店",,"金沢まいもん寿司 イオンモール幕張新都心店",,,,,,043-306-7573,3
583,"餃子房じらい屋",,"餃子房じらい屋",,,,,,043-246-0039,3
584,"舩場 パート2",,"舩場 パート2",,,,,,043-243-3501,3
585,"さかえ寿司",,"さかえ寿司",,,,,,043-246-8126,3
586,"アウトバック ステーキハウス 幕張店",,"アウトバック ステーキハウス 幕張店",,,,,,043-213-3256,3
587,"昌慶苑",,"昌慶苑","昌慶苑　西千葉",,,,,043-241-5655,3
588,"回頭",,"回頭",,,,,,043-276-1991,3
589,"もりした",,"もりした",,,,,,043-301-4416,3
590,"遊や 2.5号店",,"遊や 2.5号店",,,,,,043-290-9630,3
591,"ホテルオークラ レストラン千葉 中国料理 桃源",,"ホテルオークラ レストラン千葉 中国料理 桃源",,,,,,043-245-8283,3
592,"０秒レモンサワー 仙台ホルモン焼肉酒場 ときわ亭 千葉店",,"０秒レモンサワー 仙台ホルモン焼肉酒場 ときわ亭 千葉店",,,,,,043-216-3204,3
593,"海鮮居酒屋 山傳丸 稲毛店",,"海鮮居酒屋 山傳丸 稲毛店",,,,,,043-244-0739,3
594,"千葉っ子居酒屋 燻し家もっくん",,"千葉っ子居酒屋 燻し家もっくん",,,,,"千葉っ子居酒屋 燻し家もっくん",043-307-1994,3
595,"月の坊 千葉店",,"月の坊 千葉店","月の坊　千葉店",,,,"月の坊 千葉店",043-201-5622,3
596,"個室創作焼肉 樹",,"個室創作焼肉 樹",,,,,,043-224-8400,3
597,"ペッシェヴィーノ",,"ペッシェヴィーノ",,,,,,043-207-8551,3
598,"ルンビニ",,"ルンビニ","インド料理　ルンビニ　千葉",,,,,043-227-8086,3
599,"インディアンキッチン ラソイ",,"インディアンキッチン ラソイ",,,,,,043-307-9955,3
600,"アダルサ 千葉支店",,"アダルサ 千葉支店",,,,,,043-306-9223,3
601,"目利きの銀次 稲毛東口駅前店",,"目利きの銀次 稲毛東口駅前店",,,,,,043-205-6188,3
602,"Italian Kitchen VANSAN 稲毛店",,"Italian Kitchen VANSAN 稲毛店",,,,,,050-5051-0129,3
603,"完全個室居酒屋 あく庵 海浜幕張店",,"完全個室居酒屋 あく庵 海浜幕張店",,,,,"あく庵 海浜幕張店",03-6380-4119,3
604,"個室×肉バル ボナセーラ 千葉駅前店",,"個室×肉バル ボナセーラ 千葉駅前店",,,,,"個室x肉バル ボナセーラ 千葉駅前",050-2018-3370,3
605,"THE SURF OCEAN TERRACE",,"THE SURF OCEAN TERRACE",,,,,,043-279-4155,3
606,"レストラン ディスカーロ",,"レストラン ディスカーロ",,,,,,043-222-2350,3
607,"スカイクルーズマクハリ アパホテル＆リゾート東京ベイ幕張",,"スカイクルーズマクハリ アパホテル＆リゾート東京ベイ幕張",,,,,,043-296-1343,3
608,"レストラン ラ･ベランダ アパホテル＆リゾート東京ベイ幕張",,"レストラン ラ･ベランダ アパホテル＆リゾート東京ベイ幕張",,,,,,043-296-1326,3
609,"土風炉 海浜幕張店",,"土風炉 海浜幕張店",,,,,,043-298-1026,3
610,"大衆肉酒場 天草や 海浜幕張店",,"大衆肉酒場 天草や 海浜幕張店",,,,,,045-550-5086,3
611,"全席個室 夜景個室居酒屋 囲 千葉駅前店",,"全席個室 夜景個室居酒屋 囲 千葉駅前店",,,,,"囲 千葉駅前店",043-306-3500,3
612,"鐵一 千葉西口店",,"鐵一 千葉西口店",,,,,"鉄板酒場 鐵一 千葉西口店",043-243-2881,3
613,"和食郷土料理 個室居酒屋 千葉屋",,"和食郷土料理 個室居酒屋 千葉屋",,,,,"和食郷土料理 個室居酒屋 千葉屋",043-215-7773,3
614,"和ダイニング 野",,"和ダイニング 野",,,,,,0120-42-8422,3
615,"焼肉 せんりゅう 幕張本郷店",,"焼肉 せんりゅう 幕張本郷店",,,,,,043-271-8929,3
616,"やきとりの扇屋 千葉緑区役所前店",,"やきとりの扇屋 千葉緑区役所前店",,,,,,043-300-4860,3
617,"龍 千葉",,"龍 千葉",,,,,,043-223-7550,3
618,"焼肉DINING大和 鎌取店",,"焼肉DINING大和 鎌取店",,,,,,043-290-9729,3
619,"ぼちぼち 千葉中央店",,"ぼちぼち 千葉中央店",,,,,,043-226-1213,3
620,"ホルモン焼肉 せなや",,"ホルモン焼肉 せなや",,,,,,043-306-2990,3
621,"音波 千葉富士見店",,"音波 千葉富士見店",,,,,"音波 OTOHA 千葉富士見店",043-202-1773,3
622,"鯛塩そば 灯花 ペリエ千葉店",,"鯛塩そば 灯花 ペリエ千葉店",,,,,,043-216-2992,3
623,"日本再生酒場 千葉富士見店",,"日本再生酒場 千葉富士見店",,,,,"日本再生酒場 千葉富士見店",043-307-7111,3
624,"凱旋門 武石IC店",,"凱旋門 武石IC店",,,,,,043-350-4129,3
625,"Yaホ！ 富士見店",,"Yaホ！ 富士見店",,,,,,043-227-2939,3
626,"百花亭 千葉西口店",,"百花亭 千葉西口店",,,,,,043-306-1133,3
627,"四季彩 海浜幕張店",,"四季彩 海浜幕張店",,,,,"四季彩 海浜幕張店",043-441-7591,3
628,"居酒屋 かまどか プレナ幕張店",,"居酒屋 かまどか プレナ幕張店",,,,,"かまどか プレナ幕張店",043-351-9494,3
629,"ビストロ レコルト",,"ビストロ レコルト",,,,,,043-216-2402,3
630,"串酒場 伝助本店",,"串酒場 伝助本店",,,,,,043-202-2941,3
631,"炙りの幸 プレナ幕張店",,"炙りの幸 プレナ幕張店",,,,,,043-305-5288,3
632,"ヴィレッジヴァンガードダイナー イオンモール幕張新都心店",,"ヴィレッジヴァンガードダイナー イオンモール幕張新都心店",,,,,,043-272-2391,3
633,"レインボーカフェ 幕張店",,"レインボーカフェ 幕張店",,,,,,043-301-5977,3
634,"大阪王将 千葉中央店",,"大阪王将 千葉中央店",,,,,,043-306-8404,3
635,"最上階 夜景 居酒屋 空海 海浜幕張店",,"最上階 夜景 居酒屋 空海 海浜幕張店",,,,,,050-3000-3011,3
636,"チンタンタン 海浜幕張駅前店",,"チンタンタン 海浜幕張駅前店",,,,,,043-299-1589,3
637,"山内農場 JR千葉駅前店",,"山内農場 JR千葉駅前店",,,,"山内農場 ＪＲ千葉駅前店",,043-221-4688,3
638,"千年の宴 海浜幕張北口駅前店",,"千年の宴 海浜幕張北口駅前店",,,,,"千年の宴 海浜幕張北口駅前店",043-275-1188,3
639,"茶薫 小籠包 海浜幕張店",,"茶薫 小籠包 海浜幕張店",,,,,,043-215-7537,3
640,"海鮮居酒屋 山傳丸 海浜幕張店",,"海鮮居酒屋 山傳丸 海浜幕張店",,,,,"海鮮居酒屋 山傳丸 海浜幕張店",043-299-1503,3
641,"味覚庵 千葉中央店",,"味覚庵 千葉中央店",,,,,,043-223-1555,3
642,"ビュッフェレストラン ラフォーレ",,"ビュッフェレストラン ラフォーレ",,,,,,043-296-1255,3
643,"札幌弥助 海浜幕張店",,"札幌弥助 海浜幕張店",,,,,,043-212-8080,3
644,"千葉っ子ダイニング ペコリ",,"千葉っ子ダイニング ペコリ","千葉っ子ダイニング ペコリ",,,,"千葉っ子ダイニング ペコリ",043-221-2252,3
645,"個室居酒屋 鶏の吉助 千葉駅前店",,"個室居酒屋 鶏の吉助 千葉駅前店",,,,,,043-306-4464,3
646,"寿司 やまと 海浜幕張店",,"寿司 やまと 海浜幕張店",,,,,,043-271-3411,3
647,"DINING BAR TALAHT",,"DINING BAR TALAHT",,,,,,043-224-1027,3
648,"くいもの屋　わん 津田沼店",,"くいもの屋　わん 津田沼店",,,,,"くいもの屋わん 津田沼店",047-470-0555,4
649,"津田沼っ子居酒屋 とりとんくん",,"津田沼っ子居酒屋 とりとんくん",,,,,"津田沼っ子居酒屋 とりとんくん",047-403-5066,4
650,"大人の個室宴会 農家の台所 八助",,"大人の個室宴会 農家の台所 八助",,,,,"農家の台所 八助 津田沼店",080-3350-1081,4
651,"鈴蘭苑 習志野実籾店",,"鈴蘭苑 習志野実籾店",,,,,,047-475-7428,4
652,"100円唐揚げ食べ放題 THEハイカラ屋",,"100円唐揚げ食べ放題 THEハイカラ屋",,,,,,047-493-0700,4
653,"レストラン ヴィーニュ",,"レストラン ヴィーニュ",,,,,,047-454-2070,4
654,"ワイガヤ",,"ワイガヤ",,,,,"普段着ワイン酒場 ワイガヤ",047-451-7977,4
655,"津田沼 Cafe&Dining ペコリ",,"津田沼 Cafe&Dining ペコリ",,,,,"津田沼 Cafe&Dining Pecori",047-409-2334,4
656,"横濱 魚萬 京成津田沼南口駅前店",,"横濱 魚萬 京成津田沼南口駅前店",,,,,"横濱魚萬 京成津田沼南口駅前店",047-453-2588,4
657,"ゴールドピザ",,"ゴールドピザ",,,,,,047-429-8508,4
658,"肉×日本酒バル ワラカド 津田沼店",,"肉×日本酒バル ワラカド 津田沼店",,,,,"肉×日本酒バル ワラカド 津田沼店",047-407-4919,4
659,"ビストロ・ポトフ",,"ビストロ・ポトフ",,,,,,047-403-7205,4
660,"肉汁ハンバーグとおばんさい 鹿鳴軒",,"肉汁ハンバーグとおばんさい 鹿鳴軒",,,,,,050-3468-6122,4
661,"和幸 イオン津田沼店",,"和幸 イオン津田沼店",,,,,,047-403-8271,4
662,"カフェ　リトルズー",,"カフェ　リトルズー",,,,,,047-455-3329,4
663,"鎌倉パスタ モリシア津田沼店",,"鎌倉パスタ モリシア津田沼店",,,,,,047-403-2309,4
664,"キャンブレム モリシア店",,"キャンブレム モリシア店",,,,,,047-473-1178,4
665,"健勝軒",,"健勝軒",,,,,,047-411-4454,4
666,"ガトードボワイヤージュ Dila津田沼店",,"ガトードボワイヤージュ Dila津田沼店",,,,,,047-476-6061,4
667,"ぱぶ茶屋 祭",,"ぱぶ茶屋 祭",,,,,"ぱぶ茶屋 祭",047-477-4239,4
668,"ラーメンかいざん",,"ラーメンかいざん",,,,,,047-475-8603,4
669,"いろり庵きらく ペリエ津田沼店",,"いろり庵きらく ペリエ津田沼店",,,,,,047-477-2230,4
670,"大阪王将 津田沼北口店",,"大阪王将 津田沼北口店",,,,,,047-407-3945,4
671,"寿々本",,"寿々本",,,,,,047-453-2310,4
672,"レオニダス 実籾店",,"レオニダス 実籾店",,,,,,047-403-0404,4
673,"バー チャルタ",,"バー チャルタ",,,,,,"",4
674,"麺場 田所商店 津田沼店",,"麺場 田所商店 津田沼店",,,,,,047-411-7111,4
675,"串カツ田中 京成大久保店",,"串カツ田中 京成大久保店",,,,,,047-474-7300,4
676,"ドンレミーアウトレット 千葉店",,"ドンレミーアウトレット 千葉店",,,,,,047-471-7371,4
677,"CoCo壱番屋 ミスターマックス新習志野店",,"CoCo壱番屋 ミスターマックス新習志野店",,,,,,047-408-1558,4
678,"メキシコ酒場 サンズ・ダイナー 津田沼店",,"メキシコ酒場 サンズ・ダイナー 津田沼店",,,,,,047-478-9674,4
679,"はいさい",,"はいさい",,,,,,047-403-9770,4
680,"cafe 螢明舎 谷津店",,"cafe 螢明舎 谷津店",,,,,,047-451-1669,4
681,"ならしのクラフトビール むぎのいえ",,"ならしのクラフトビール むぎのいえ",,,,,,047-429-8895,4
682,"バーミヤン 習志野鷺沼店",,"バーミヤン 習志野鷺沼店",,,,,,047-470-6523,4
683,"ル・パティシエ ヨコヤマ 京成大久保店",,"ル・パティシエ ヨコヤマ 京成大久保店",,,,,,047-403-8886,4
684,"豚骨イタリアンラーメン 伊太そば",,"豚骨イタリアンラーメン 伊太そば",,,,,,"不明の為情報お待ちしております",4
685,"ノースファーム",,"ノースファーム",,,,,,047-471-7205,4
686,"そぷらのシチュー",,"そぷらのシチュー",,,,,,047-453-2433,4
687,"魚べい 東習志野店",,"魚べい 東習志野店",,,,,,047-477-8811,4
688,"うすかわ五右衛門 津田沼店",,"うすかわ五右衛門 津田沼店",,,,,,047-473-9310,4
689,"ほうらい",,"ほうらい",,,,,,047-451-1777,4
690,"麺家 西陣",,"麺家 西陣",,,,,,070-5583-2734,4
691,"ばんから フォルテ津田沼店",,"ばんから フォルテ津田沼店",,,,,,047-409-6629,4
692,"バーガーキング 津田沼駅南口店",,"バーガーキング 津田沼駅南口店",,,,,,047-411-4556,4
693,"幸楽苑 幕張インター店",,"幸楽苑 幕張インター店",,,,,,047-408-2777,4
694,"とんかつ大和楽",,"とんかつ大和楽",,,,,,047-408-2110,4
695,"タタ エト ププラ",,"タタ エト ププラ",,,,,,047-429-8048,4
696,"中華料理　味香園",,"中華料理　味香園",,,,,,047-451-2851,4
697,"力丸",,"力丸",,,,,,047-477-8408,4
698,"ディッパーダン ミーナ津田沼店",,"ディッパーダン ミーナ津田沼店",,,,,,047-409-1132,4
699,"大虎",,"大虎",,,,,,"",4
700,"あけぼの",,"あけぼの",,,,,,047-472-3260,4
701,"ラ・シェール",,"ラ・シェール",,,,,,047-472-7694,4
702,"東天紅 JACK大宮店",,"東天紅 JACK大宮店",,,,,,048-647-0080,5
703,"鉄板×肉バル ぶるじょわ",,"鉄板×肉バル ぶるじょわ",,,,,,048-762-7773,5
704,"安安 浦和西口店",,"安安 浦和西口店",,,,,,048-799-3129,5
705,",CA Wine Farm",,",CA Wine Farm",,,,,,048-677-8012,5
706,"香福園",,"香福園",,,,,,048-871-9994,5
707,"吉草",,"吉草",,,,,,048-644-5800,5
708,"M's Rou",,"M's Rou",,,,,,048-825-0818,5
709,"うな鐵 大宮店",,"うな鐵 大宮店",,,,,"うな鐵",048-641-9355,5
710,"天平苑",,"天平苑",,,,,,048-797-4129,5
711,"七輪焼肉 安安 東大宮店",,"七輪焼肉 安安 東大宮店",,,,,,048-876-9329,5
712,"いろはにほへと 大宮西口店",,"いろはにほへと 大宮西口店",,,,,,03-6705-5710,5
713,"隠れ家個室居酒屋 音音 浦和駅前店",,"隠れ家個室居酒屋 音音 浦和駅前店",,,,,"音音～nene～ 浦和駅前店",048-762-7411,5
714,"牛タン専門×ユッケ寿司 全席個室居酒屋 うま囲 浦和駅西口店",,"牛タン専門×ユッケ寿司 全席個室居酒屋 うま囲 浦和駅西口店",,,,,,048-832-8600,5
715,"ラ ココリコ 浦和店",,"ラ ココリコ 浦和店",,,,,,048-814-0351,5
716,"大宮牛タンいろ葉",,"大宮牛タンいろ葉",,,,,,048-641-5855,5
717,"彩り和食と完全個室 椿 大宮店",,"彩り和食と完全個室 椿 大宮店",,,,,,03-4446-9648,5
718,"大宮 鮨 Sublime",,"大宮 鮨 Sublime",,,,,,048-780-2723,5
719,"ビストロフレンチ ウララ",,"ビストロフレンチ ウララ",,,,,,048-825-1112,5
720,"鮨政 西口店",,"鮨政 西口店",,,,,,048-643-8080,5
721,"CONA 大宮店",,"CONA 大宮店",,,,,,048-783-3140,5
722,"大衆すし酒場 じんべえ太郎 北浦和店",,"大衆すし酒場 じんべえ太郎 北浦和店",,,,,"大衆すし酒場 じんべえ太郎",048-832-6690,5
723,"お出汁とお魚 スズノネ",,"お出汁とお魚 スズノネ",,,,,,048-778-7746,5
724,"全席個室 楽蔵 大宮東口駅前店",,"全席個室 楽蔵 大宮東口駅前店",,,,,"楽蔵 大宮東口駅前店",048-658-0766,5
725,"まるし さいたま新都心店",,"まるし さいたま新都心店",,,,,,048-783-4317,5
726,"うなぎ　はす沼",,"うなぎ　はす沼",,,,,,048-876-5500,5
727,"2000円 食べ放題飲み放題 居酒屋 おすすめ屋 大宮店",,"2000円 食べ放題飲み放題 居酒屋 おすすめ屋 大宮店",,,,,,03-6625-4054,5
728,"SAKANAKANA 大宮東口店",,"SAKANAKANA 大宮東口店",,,,,"SAKANAKANA ‐サカナカナ‐ 大宮東口店",048-783-4613,5
729,"やきとり家すみれ 浦和店",,"やきとり家すみれ 浦和店",,,,,,048-814-0229,5
730,"トリッパイオ アトレ浦和店",,"トリッパイオ アトレ浦和店",,,,,,048-789-6221,5
731,"シュラスコレストランCalendula",,"シュラスコレストランCalendula",,,,,,048-708-3729,5
732,"特選和牛大将軍 はなれ 大宮大門町店",,"特選和牛大将軍 はなれ 大宮大門町店",,,,,,048-645-0429,5
733,"寿司海鮮 御旦孤 さいたま新都心店",,"寿司海鮮 御旦孤 さいたま新都心店",,,,,,048-600-3190,5
734,"烏賊・鮨ダイニング 鮮助 西口店",,"烏賊・鮨ダイニング 鮮助 西口店",,,,,,048-778-9939,5
735,"完全個室 傳 アクアルーム 大宮",,"完全個室 傳 アクアルーム 大宮",,,,,,048-783-4205,5
736,"イタリアンダイニングDONA 武蔵浦和店",,"イタリアンダイニングDONA 武蔵浦和店",,,,,,048-710-6430,5
737,"中華料理 香香",,"中華料理 香香",,,,,,048-711-3368,5
738,"いちげん 南浦和店",,"いちげん 南浦和店",,,,,,048-823-1116,5
739,"とらぬ狸",,"とらぬ狸",,,,,,048-649-6388,5
740,"南欧田舎料理のお店タパス",,"南欧田舎料理のお店タパス",,,,,,048-747-8890,5
741,"お会計2800円以上取りません カラオケ酒場トサカモミジ 大宮店",,"お会計2800円以上取りません カラオケ酒場トサカモミジ 大宮店",,,,,,048-640-4338,5
742,"肉山 おおみや",,"肉山 おおみや",,,,,,048-643-0029,5
743,"アロハテーブル ルミネ大宮 ハワイアンBBQビアガーデン",,"アロハテーブル ルミネ大宮 ハワイアンBBQビアガーデン",,,,,,048-658-0575,5
744,"ボラボラ 大宮店",,"ボラボラ 大宮店",,,,,,048-646-3333,5
745,"魚八＆串八珍 大宮東口店",,"魚八＆串八珍 大宮東口店",,,,,"魚八＆串八珍 大宮東口店",048-631-0029,5
746,"高麗房",,"高麗房",,,,,,048-647-1060,5
747,"襷",,"襷",,,,,,048-645-7778,5
748,"焼肉 喰心",,"焼肉 喰心",,,,,,048-657-9901,5
749,"やきとりセンター 大宮東口店",,"やきとりセンター 大宮東口店",,,,,,048-640-4866,5
750,"魚菜 基",,"魚菜 基",,,,,,048-832-0200,5
751,"彩賓楼",,"彩賓楼",,,,,,048-600-5515,5
752,"ねぎたん塩・焼肉・お食事 ジャン高山",,"ねぎたん塩・焼肉・お食事 ジャン高山",,,,,,048-858-0721,5
753,"大宮ワインバル ASOKO",,"大宮ワインバル ASOKO",,,,,,048-783-4223,5
754,"大衆イタリアンかね子 大宮店",,"大衆イタリアンかね子 大宮店",,,,,,048-788-1712,5
755,"ヴィーノテリア",,"ヴィーノテリア",,,,,,048-642-8882,5
756,"ルヴァン",,"ルヴァン",,,,,,048-711-3681,5
757,"梅蘭 JRさいたま新都心ビル店",,"梅蘭 JRさいたま新都心ビル店",,,,,,048-762-6628,5
758,"鮨前と酒　中和浦",,"鮨前と酒　中和浦",,,,,,048-826-6144,5
759,"朱苑 浦和高砂店",,"朱苑 浦和高砂店",,,,,,048-835-2941,5
760,"肉創作と仙台牛一頭買い焼肉 ばくふ 大宮店",,"肉創作と仙台牛一頭買い焼肉 ばくふ 大宮店",,,,,,048-782-6057,5
761,BARMODEST,,BARMODEST,,,,,,048-826-6960,5
762,"備長扇屋 岩槻店",,"備長扇屋 岩槻店",,,,,,048-790-2850,5
763,"旬楽　飃",,"旬楽　飃",,,,,,048-834-3332,5
764,"ナチュラルダイニング菜素美",,"ナチュラルダイニング菜素美",,,,,,048-711-1148,5
765,"料亭　ほてい家",,"料亭　ほてい家",,,,,,048-756-1661,5
766,"個室 炭火焼 南九州うめえもん大宮亭",,"個室 炭火焼 南九州うめえもん大宮亭",,,,,,048-669-0105,5
767,"エグリーズ・ドゥ・葉山庵",,"エグリーズ・ドゥ・葉山庵",,,,,,048-644-6688,5
768,"焼鳥 鳥せい 北浦和店",,"焼鳥 鳥せい 北浦和店",,,,,,048-711-8028,5
769,"パルテール",,"パルテール",,,,,,048-647-3300,5
770,"Vegi&Bird 大宮",,"Vegi&Bird 大宮",,,,,,048-779-8540,5
771,"オルタナティブラウンジ",,"オルタナティブラウンジ",,,,,,048-788-2417,5
772,"Trattoria Azzurri",,"Trattoria Azzurri",,,,,,048-710-5300,5
773,"和浦酒場　弐",,"和浦酒場　弐",,,,,"和浦酒場 弐",048-699-5000,5
774,"那須家　宗庵",,"那須家　宗庵",,,,,,048-762-3806,5
775,"アルタビスタガーデン",,"アルタビスタガーデン",,,,,,048-620-1001,5
776,"鮨 乃すけ",,"鮨 乃すけ",,,,,,048-767-4886,5
777,"ステーキハウス松木 大宮本郷店",,"ステーキハウス松木 大宮本郷店",,,,,,048-661-7444,5
778,"さくらテラス 浦和",,"さくらテラス 浦和",,,,,,048-711-2622,5
779,"大衆串カツ酒場ふみば",,"大衆串カツ酒場ふみば",,,,,,048-8767-8194,5
780,"居酒屋 赤松 グリル＆鉄板焼き",,"居酒屋 赤松 グリル＆鉄板焼き",,,,,,048-827-1163,5
781,"桃栗別家 柿八",,"桃栗別家 柿八",,,,,,048-782-4439,5
782,"ペストリーショップ ラ・モーラ",,"ペストリーショップ ラ・モーラ",,,,,,048-827-1161,5
783,"プレイヤーズ",,"プレイヤーズ",,,,,,048-832-7877,5
784,"山下軒",,"山下軒",,,,,,048-641-0167,5
785,"焼肉 平城苑　寛雅亭 浦和店",,"焼肉 平城苑　寛雅亭 浦和店",,,,,,048-882-2989,5
786,"笑わ家",,"笑わ家",,,,,,048-877-0779,5
787,"あじめん 北浦和店",,"あじめん 北浦和店",,,,,"あじめん 浦和店",048-815-7255,5
